ScanTime,CowTag,InOrOut,Tray(IfApplicable)
2025-01-27 00:36:14,000000000840003267804613,In,0
2025-01-27 00:36:18,000000000840003267804613,Out,0
2025-01-27 00:36:25,000000000840003267804613,In,0
2025-01-27 00:36:30,000000000840003267804613,Out,0
2025-01-27 00:36:48,000000000840003267804613,In,0
2025-01-27 00:36:53,000000000840003267804613,Out,0
2025-01-27 00:37:06,000000000840003267804613,In,0
2025-01-27 00:37:12,000000000840003267804613,Out,0
2025-01-27 00:37:14,000000000840003267804613,In,0
2025-01-27 00:37:23,000000000840003267804613,Out,0
2025-01-27 00:37:42,000000000666069015961618,In,0
2025-01-27 00:37:46,000000000666069015961618,Out,0
2025-01-27 00:38:25,000000000840003267804613,In,0
2025-01-27 00:38:30,000000000840003267804613,Out,0
2025-01-27 00:38:34,000000000840003267804613,In,0
2025-01-27 00:38:38,000000000840003267804613,Out,0
2025-01-27 00:39:23,000000000840003267804613,In,0
2025-01-27 00:39:27,000000000840003267804613,Out,0
2025-01-27 00:39:42,000000000840003267804613,In,0
2025-01-27 00:39:58,000000000840003267804613,Out,0
2025-01-27 00:40:03,000000000840003267804613,In,0
2025-01-27 00:40:09,000000000840003267804613,Out,0
2025-01-27 00:40:48,000000000840003267804613,In,0
2025-01-27 00:40:52,000000000840003267804613,Out,0
2025-01-27 00:40:56,000000000840003267804613,In,0
2025-01-27 00:41:01,000000000840003267804613,Out,0
2025-01-27 00:42:01,000000000840003267804613,Out,0
2025-01-27 00:43:17,000000000840003209882139,In,0
2025-01-27 00:43:27,000000000840003209882139,Out,0
2025-01-27 00:44:27,000000000840003209882139,Out,0
2025-01-27 00:52:24,000000000840003267804613,In,0
2025-01-27 00:52:29,000000000840003267804613,Out,0
2025-01-27 00:52:29,000000000840003267804613,In,0
2025-01-27 00:52:36,000000000840003267804613,Out,0
2025-01-27 00:53:36,000000000840003267804613,Out,0
2025-01-27 00:55:09,000000000840003209882154,In,0
2025-01-27 00:55:25,000000000840003209882154,Out,0
2025-01-27 00:57:05,000000000840003209882154,Out,0
2025-01-27 00:58:04,000000000840003209882140,In,0
2025-01-27 00:58:35,000000000840003209882140,Out,0
2025-01-27 00:59:35,000000000840003209882140,Out,0
2025-01-27 01:00:04,000000000840003209882140,In,0
2025-01-27 01:00:19,000000000840003209882140,Out,0
2025-01-27 01:00:27,000000000840003209882140,In,0
2025-01-27 01:00:31,000000000840003209882140,Out,0
2025-01-27 01:00:51,000000000840003229291770,In,0
2025-01-27 01:01:11,000000000840003229291770,Out,0
2025-01-27 01:02:11,000000000840003229291770,Out,0
2025-01-27 01:07:04,000000000840003267804606,In,0
2025-01-27 01:07:09,000000000840003267804606,Out,0
2025-01-27 01:08:03,000000000840003267804606,In,0
2025-01-27 01:09:11,000000000840003267804606,Out,0
2025-01-27 01:09:19,000000000840003267804606,In,0
2025-01-27 01:09:25,000000000840003267804606,Out,0
2025-01-27 01:10:00,000000000840003267804606,In,0
2025-01-27 01:10:14,000000000840003267804606,Out,0
2025-01-27 01:11:14,000000000840003267804606,Out,0
2025-01-27 01:14:31,000000000840003229291880,In,0
2025-01-27 01:15:01,000000000840003229291880,Out,0
2025-01-27 01:15:07,000000000840003229291880,In,0
2025-01-27 01:15:16,000000000840003229291880,Out,0
2025-01-27 01:15:37,000000000840003229291880,In,0
2025-01-27 01:15:41,000000000840003229291880,Out,0
2025-01-27 01:15:59,000000000840003229291880,In,0
2025-01-27 01:16:07,000000000840003229291880,Out,0
2025-01-27 01:16:27,000000000840003229291880,In,0
2025-01-27 01:16:38,000000000840003229291880,Out,0
2025-01-27 01:17:08,000000000840003229291880,In,0
2025-01-27 01:17:16,000000000840003229291880,Out,0
2025-01-27 01:18:00,000000000840003267804602,In,0
2025-01-27 01:18:04,000000000840003267804602,Out,0
2025-01-27 01:18:04,000000000840003267804602,In,0
2025-01-27 01:18:08,000000000840003267804602,Out,0
2025-01-27 01:18:33,000000000840003267804602,In,0
2025-01-27 01:18:43,000000000840003267804602,Out,0
2025-01-27 01:19:16,000000000840003267804602,In,0
2025-01-27 01:19:22,000000000840003267804602,Out,0
2025-01-27 01:19:37,000000000840003267804602,In,0
2025-01-27 01:19:43,000000000840003267804602,Out,0
2025-01-27 01:20:19,000000000840003267804602,In,0
2025-01-27 01:20:25,000000000840003267804602,Out,0
2025-01-27 01:20:27,000000000840003267804602,In,0
2025-01-27 01:20:35,000000000840003267804602,Out,0
2025-01-27 01:20:38,000000000840003267804602,In,0
2025-01-27 01:20:42,000000000840003267804602,Out,0
2025-01-27 01:20:46,000000000840003267804602,In,0
2025-01-27 01:20:54,000000000840003267804602,Out,0
2025-01-27 01:21:01,000000000840003267804602,In,0
2025-01-27 01:21:15,000000000840003267804602,Out,0
2025-01-27 01:21:37,000000000840003267804602,In,0
2025-01-27 01:21:41,000000000840003267804602,Out,0
2025-01-27 01:21:43,000000000840003267804602,In,0
2025-01-27 01:22:17,000000000002223634784262,In,0
2025-01-27 01:22:21,000000000002223634784262,Out,0
2025-01-27 01:22:32,000000000840003267804602,Out,0
2025-01-27 01:22:40,000000000840003267804602,In,0
2025-01-27 01:22:47,000000000840003267804602,Out,0
2025-01-27 01:23:27,000000000840003267804602,In,0
2025-01-27 01:23:31,000000000840003267804602,Out,0
2025-01-27 01:23:45,000000000840003267804602,In,0
2025-01-27 01:23:49,000000000840003267804602,Out,0
2025-01-27 01:25:10,000000000840003267804602,Out,0
2025-01-27 01:26:32,000000000840003267804602,In,0
2025-01-27 01:27:13,000000000840003267804602,Out,0
2025-01-27 01:27:21,000000000840003267804602,In,0
2025-01-27 01:27:26,000000000840003267804602,Out,0
2025-01-27 01:28:14,000000000840003267804602,In,0
2025-01-27 01:28:40,000000000840003267804602,Out,0
2025-01-27 01:29:01,000000000840003267804602,In,0
2025-01-27 01:29:28,000000000840003267804602,Out,0
2025-01-27 01:30:56,000000000840003267804602,Out,0
2025-01-27 01:34:56,000000000840003267804602,In,0
2025-01-27 01:35:06,000000000840003267804602,Out,0
2025-01-27 01:35:32,000000000840003267804602,In,0
2025-01-27 01:35:36,000000000840003267804602,Out,0
2025-01-27 01:36:01,000000000840003267804602,In,0
2025-01-27 01:36:23,000000000840003267804602,Out,0
2025-01-27 01:36:38,000000000840003267804602,In,0
2025-01-27 01:37:11,000000000840003267804602,Out,0
2025-01-27 01:37:22,000000000840003267804602,In,0
2025-01-27 01:37:41,000000000840003267804602,Out,0
2025-01-27 01:37:51,000000000840003229291707,In,0
2025-01-27 01:38:00,000000000840003229291707,Out,0
2025-01-27 01:38:07,000000000840003267804602,In,0
2025-01-27 01:38:18,000000000840003267804602,Out,0
2025-01-27 01:38:31,000000000840003209882113,In,0
2025-01-27 01:38:39,000000000840003209882113,Out,0
2025-01-27 01:38:42,000000000840003209882113,In,0
2025-01-27 01:38:48,000000000840003209882113,Out,0
2025-01-27 01:38:59,000000000840003209882113,In,0
2025-01-27 01:39:03,000000000840003209882113,Out,0
2025-01-27 01:40:03,000000000840003209882113,Out,0
2025-01-27 01:43:02,000000000840003209882104,In,0
2025-01-27 01:43:06,000000000840003209882104,Out,0
2025-01-27 01:43:09,000000000840003209882104,In,0
2025-01-27 01:43:18,000000000840003209882104,Out,0
2025-01-27 01:44:09,000000000840003209882104,In,0
2025-01-27 01:44:13,000000000840003209882104,Out,0
2025-01-27 01:45:13,000000000840003209882104,Out,0
2025-01-27 01:51:56,000000000840003229291880,In,0
2025-01-27 01:52:25,000000000840003229291880,Out,0
2025-01-27 01:52:28,000000000840003229291880,In,0
2025-01-27 01:52:50,000000000840003229291880,Out,0
2025-01-27 01:53:03,000000000840003229291880,In,0
2025-01-27 01:53:44,000000000840003229291880,Out,0
2025-01-27 01:53:47,000000000840003229291880,In,0
2025-01-27 01:54:02,000000000840003229291880,Out,0
2025-01-27 01:55:02,000000000840003229291880,Out,0
2025-01-27 02:07:41,000000000840003267804620,In,0
2025-01-27 02:08:22,000000000840003267804620,Out,0
2025-01-27 02:08:30,000000000840003267804620,In,0
2025-01-27 02:09:40,000000000840003267804620,Out,0
2025-01-27 02:09:40,000000000840003267804620,In,0
2025-01-27 02:09:44,000000000840003267804620,Out,0
2025-01-27 02:09:50,000000000840003267804620,In,0
2025-01-27 02:09:54,000000000840003267804620,Out,0
2025-01-27 02:10:02,000000000840003229291802,In,0
2025-01-27 02:10:22,000000000840003229291802,Out,0
2025-01-27 02:10:27,000000000840003229291802,In,0
2025-01-27 02:10:49,000000000840003229291802,Out,0
2025-01-27 02:11:52,000000000840003229291802,In,0
2025-01-27 02:11:58,000000000840003229291802,Out,0
2025-01-27 02:12:02,000000000840003229291802,In,0
2025-01-27 02:12:09,000000000840003229291802,Out,0
2025-01-27 02:12:15,000000000840003229291802,In,0
2025-01-27 02:12:19,000000000840003229291802,Out,0
2025-01-27 02:12:26,000000000840003229291802,In,0
2025-01-27 02:12:33,000000000840003229291802,Out,0
2025-01-27 02:12:59,000000000840003267804620,In,0
2025-01-27 02:13:08,000000000840003267804620,Out,0
2025-01-27 02:13:10,000000000840003267804620,In,0
2025-01-27 02:13:14,000000000840003267804620,Out,0
2025-01-27 02:13:55,000000000840003267804620,In,0
2025-01-27 02:13:59,000000000840003267804620,Out,0
2025-01-27 02:14:01,000000000840003267804620,In,0
2025-01-27 02:16:11,000000000840003267804620,Out,0
2025-01-27 02:17:11,000000000840003267804620,Out,0
2025-01-27 02:21:34,000000000840003220323494,In,0
2025-01-27 02:21:43,000000000840003220323494,Out,0
2025-01-27 02:21:43,000000000840003220323494,In,0
2025-01-27 02:21:52,000000000840003220323494,Out,0
2025-01-27 02:21:54,000000000840003220323494,In,0
2025-01-27 02:22:14,000000000840003220323494,Out,0
2025-01-27 02:23:16,000000000840003220323494,Out,0
2025-01-27 02:27:29,000000000840003229291895,In,0
2025-01-27 02:27:35,000000000840003229291895,Out,0
