ScanTime,CowTag,InOrOut,Tray(IfApplicable)
2025-01-27 00:00:01,000000000840003229291770,Out,0
2025-01-27 00:00:11,000000000840003229291770,Out,0
2025-01-27 00:01:32,000000000840003267804622,In,0
2025-01-27 00:01:38,000000000840003267804622,Out,0
2025-01-27 00:01:45,000000000840003267804622,In,0
2025-01-27 00:01:55,000000000840003267804622,Out,0
2025-01-27 00:02:05,000000000840003267804622,Out,0
2025-01-27 00:02:46,000000000840003229291770,In,0
2025-01-27 00:02:57,000000000840003229291770,Out,0
2025-01-27 00:03:07,000000000840003229291770,Out,0
2025-01-27 00:03:32,000000000840003229291770,In,0
2025-01-27 00:03:37,000000000840003229291770,Out,0
2025-01-27 00:03:47,000000000840003229291770,Out,0
2025-01-27 00:03:53,000000000840003229291770,In,0
2025-01-27 00:03:58,000000000840003229291770,Out,0
2025-01-27 00:04:08,000000000840003229291770,Out,0
2025-01-27 00:06:11,000000000840003267804607,In,0
2025-01-27 00:06:43,000000000840003267804607,Out,0
2025-01-27 00:06:53,000000000840003267804607,Out,0
2025-01-27 00:07:19,000000000840003267804607,In,0
2025-01-27 00:07:26,000000000840003267804607,Out,0
2025-01-27 00:07:26,000000000840003267804607,In,0
2025-01-27 00:07:30,000000000840003267804607,Out,0
2025-01-27 00:07:40,000000000840003267804607,Out,0
2025-01-27 00:11:09,000000000840003209882139,In,0
2025-01-27 00:11:14,000000000840003209882139,Out,0
2025-01-27 00:11:28,000000000840003209882139,Out,0
2025-01-27 00:11:29,000000000840003209882139,In,0
2025-01-27 00:11:34,000000000840003209882139,Out,0
2025-01-27 00:11:44,000000000840003209882139,Out,0
2025-01-27 00:12:08,000000000840003267804624,In,0
2025-01-27 00:12:17,000000000840003267804624,Out,0
2025-01-27 00:12:24,000000000840003267804624,In,0
2025-01-27 00:12:29,000000000840003267804624,Out,0
2025-01-27 00:12:29,000000000840003267804624,In,0
2025-01-27 00:12:37,000000000840003267804624,Out,0
2025-01-27 00:12:47,000000000840003267804624,Out,0
2025-01-27 00:12:54,000000000840003267804624,In,0
2025-01-27 00:12:58,000000000840003267804624,Out,0
2025-01-27 00:13:08,000000000840003267804624,Out,0
2025-01-27 00:13:30,000000000840003267804624,In,0
2025-01-27 00:13:44,000000000840003267804624,Out,0
2025-01-27 00:13:54,000000000840003267804624,Out,0
2025-01-27 00:15:49,000000000840003267804607,In,0
2025-01-27 00:15:57,000000000840003267804607,Out,0
2025-01-27 00:16:07,000000000840003267804607,Out,0
2025-01-27 00:18:35,000000000840003267804607,In,0
2025-01-27 00:18:39,000000000840003267804607,Out,0
2025-01-27 00:18:49,000000000840003267804607,Out,0
2025-01-27 00:22:20,000000000840003207277878,In,0
2025-01-27 00:22:30,000000000840003207277878,Out,0
2025-01-27 00:22:30,000000000840003207277878,In,0
2025-01-27 00:22:53,000000000840003207277878,Out,0
2025-01-27 00:22:57,000000000840003207277878,In,0
2025-01-27 00:23:18,000000000840003207277878,Out,0
2025-01-27 00:23:21,000000000840003207277878,In,0
2025-01-27 00:23:30,000000000840003207277878,Out,0
2025-01-27 00:23:40,000000000840003207277878,Out,0
2025-01-27 00:24:51,000000000840003220323492,In,0
2025-01-27 00:24:55,000000000840003220323492,Out,0
2025-01-27 00:25:05,000000000840003220323492,Out,0
2025-01-27 00:25:58,000000000840003220323492,In,0
2025-01-27 00:26:10,000000000840003220323492,Out,0
2025-01-27 00:26:20,000000000840003220323492,Out,0
2025-01-27 00:26:40,000000000840003220323492,In,0
2025-01-27 00:26:52,000000000840003220323492,Out,0
2025-01-27 00:26:56,000000000170081900863526,In,0
2025-01-27 00:27:00,000000000170081900863526,Out,0
2025-01-27 00:27:20,000000000170081900863526,Out,0
2025-01-27 00:29:30,000000000840003267804606,In,0
2025-01-27 00:29:38,000000000840003267804606,Out,0
2025-01-27 00:29:48,000000000840003267804606,Out,0
2025-01-27 00:29:48,000000000840003267804606,In,0
2025-01-27 00:29:49,000000000840003267804606,In,0
2025-01-27 00:29:57,000000000840003267804606,Out,0
2025-01-27 00:30:07,000000000840003267804606,Out,0
2025-01-27 00:57:06,000000000840003209882140,In,0
2025-01-27 00:57:12,000000000840003209882140,Out,0
2025-01-27 00:57:12,000000000840003209882140,In,0
2025-01-27 00:57:18,000000000840003209882140,Out,0
2025-01-27 00:57:28,000000000840003209882140,Out,0
2025-01-27 00:58:36,000000000840003267804612,In,0
2025-01-27 00:58:43,000000000840003267804612,Out,0
2025-01-27 00:58:53,000000000840003267804612,Out,0
2025-01-27 00:59:48,000000000840003267804612,In,0
2025-01-27 00:59:54,000000000840003267804612,Out,0
2025-01-27 01:00:03,000000000840003267804612,In,0
2025-01-27 01:00:08,000000000840003267804612,Out,0
2025-01-27 01:00:18,000000000840003267804612,Out,0
2025-01-27 01:00:38,000000000840003229291862,In,0
2025-01-27 01:00:45,000000000840003229291862,Out,0
2025-01-27 01:00:55,000000000840003229291862,Out,0
2025-01-27 01:03:52,000000000840003267804616,In,0
2025-01-27 01:03:57,000000000840003267804616,Out,0
2025-01-27 01:04:14,000000000840003267804616,Out,0
2025-01-27 01:04:17,000000000840003267804616,In,0
2025-01-27 01:04:50,000000000840003267804616,Out,0
2025-01-27 01:05:00,000000000840003267804616,Out,0
2025-01-27 01:12:23,000000000840003229291880,In,0
2025-01-27 01:12:27,000000000840003229291880,Out,0
2025-01-27 01:12:27,000000000840003229291880,In,0
2025-01-27 01:12:32,000000000840003229291880,Out,0
2025-01-27 01:12:32,000000000840003229291880,In,0
2025-01-27 01:12:36,000000000840003229291880,Out,0
